pathway	description	HC-DS	HC-HD	HC-HX	HC-XY
GALACTUROCAT-PWY	D-galacturonate degradation I	18736.72356153217	21424.86875744999	19954.68607694865	18608.45500366045
GALLATE-DEGRADATION-I-PWY	gallate degradation II	13091.0	13908.000000000002	15267.924286088552	13076.5
GALLATE-DEGRADATION-II-PWY	gallate degradation I	13091.0	13908.000000000002	15267.924286088552	13076.5
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	689.3457657406769	27.97421504777181	119.4843188482385	1723.3442101339592
GLUCARDEG-PWY	D-glucarate degradation I	13243.83425547763	14166.097238942844	15397.91072831534	14475.09108462528
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	13220.335408875815	14166.097238942844	15397.91072831534	14427.196943646286
GLUCONEO-PWY	gluconeogenesis I	24664.442427706075	26576.77048181261	26080.80912129683	25294.70157924468
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	16282.9730812842	18529.32398224594	17764.506418146648	16675.56208068333
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	19518.18513256282	22233.25326401512	21320.63580795548	19478.320677881
GLUTORN-PWY	L-ornithine biosynthesis	18771.565428295584	20505.404701058076	19702.08454660776	19379.503281135225
GLYCOCAT-PWY	glycogen degradation I (bacterial)	23057.13214669664	25793.245838516126	23524.670663297973	22150.725363390156
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	17975.426137076243	19804.64475686868	17568.52950274632	16568.667714724157
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	13545.318696567483	14702.23028034609	15845.097308700488	14150.865278594074
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	24602.2235267951	26876.54784642885	26347.75370736492	25438.00394535617
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	20921.69629363177	23119.947407476346	22922.737858809916	21916.30264001301
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	22960.902166151536	24852.196379472654	25759.430410283443	24824.743080996544
GLYOXYLATE-BYPASS	glyoxylate cycle	17318.66284055428	18734.868259369105	20357.29671029189	19344.17645375868
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	19035.35094366078	20104.09980775763	21754.02975257348	18763.00637571522
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	13091.0	13910.99870633894	15234.0	13106.587570278853
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	15208.838262205947	16416.968567824646	18015.123249117365	17272.16502789657
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	17919.451562656544	19226.7127473766	20564.72215055705	19707.579211346045
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	10417.571598697034	10251.933819533411	11036.399517500708	10694.361467094996
HISDEG-PWY	L-histidine degradation I	14897.78917489528	16757.29161054531	18015.926860887208	17796.520859885004
HISTSYN-PWY	L-histidine biosynthesis	17400.20673250851	19038.8057013474	18055.716987143616	17636.74524645184
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	21363.113742918868	23062.510335352013	22170.57424576477	19916.95697320714
HSERMETANA-PWY	L-methionine biosynthesis III	4524.154157515159	6968.045123445375	1354.8863522014187	4654.389872361512
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	22633.38768995385	24767.501043206616	23602.252376425105	24284.393975521536
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	17144.390898484664	17612.356957188353	19338.840837371143	18256.014355548366
KETOGLUCONMET-PWY	ketogluconate metabolism	46.36381628482305	903.21354304771	0.0	398.4583992750615
LACTOSECAT-PWY	lactose and galactose degradation I	2.799300112481923	0.0	2.399505171643586	0.0
LEU-DEG2-PWY	L-leucine degradation I	38.649658661237645	773.108211500358	990.702131668936	3601.421244887486
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	23531.77638636809	25710.675456866145	24641.31294970932	23133.05399934183
METH-ACETATE-PWY	methanogenesis from acetate	38.99337444840132	0.0	45.46590517073989	0.0
METHGLYUT-PWY	superpathway of methylglyoxal degradation	0.0	92.67005590834738	1473.2865453280003	4470.183831281151
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	15557.053199894255	16547.113162238817	18034.62756751775	15503.33382450403
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	18104.39988861693	19953.846739916524	21644.121622680486	18996.14558763236
NADSYN-PWY	NAD biosynthesis II (from tryptophan)	0.0	0.0	171.3272134018928	274.5324226165298
NAGLIPASYN-PWY	lipid IVA biosynthesis	15643.40825673781	16427.608778751553	18069.579631348628	17236.175742020303
NONMEVIPP-PWY	methylerythritol phosphate pathway I	17365.84675934293	18913.850358305677	18121.233418128017	17982.601989228933
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	50827.70658663902	54742.52458911018	55792.23706534051	52535.07806483826
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	10097.393677191516	12714.67935232252	5066.935523958446	8777.583992494529
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	16314.497691418688	17665.29514693415	19054.93820789677	17134.41369569211
ORNDEG-PWY	superpathway of ornithine degradation	14509.325249330232	15610.535684334302	16543.59393372931	15170.255457641775
P101-PWY	ectoine biosynthesis	57.91264489276008	1135.9159811903544	0.0	495.3060563550352
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	24913.53999391142	26152.0264378243	28448.549597575227	27213.987688364592
P108-PWY	pyruvate fermentation to propanoate I	3348.138941444818	48.4430775707906	0.0	135.71794939469396
P122-PWY	heterolactic fermentation	6.12358423009406	31.466270866626665	12.244797856626722	0.0
P124-PWY	Bifidobacterium shunt	6.997891356850879	35.94993557850734	13.991962295881963	0.0
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	473.8255890774624	13.49759961458587	860.9171827639689	3408.0454877115376
P161-PWY	acetylene degradation	25395.032853140518	27156.03921940571	27191.95589993169	26834.49676996448
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	147.42339767597636	0.0	19.4873717971286	264.45032324862507
P164-PWY	purine nucleobases degradation I (anaerobic)	4628.255185822491	0.0	0.0	9274.204966192146
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	0.0	0.0	157.90928523185335	0.0
P221-PWY	octane oxidation	45.85635182477557	859.1787611707168	812.1990142901393	5510.06762471594
P23-PWY	reductive TCA cycle I	14210.017173499737	11183.308253903238	1747.1065955622	5665.999036776109
P281-PWY	3-phenylpropanoate degradation	0.0	0.0	0.0	42.91550445083741
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	0.0	169.14238885694363	0.0	1005.2777189281984
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	21229.63604321828	23359.5415499884	22808.11711961071	22272.576801963663
P42-PWY	incomplete reductive TCA cycle	14523.478402266874	11265.02092841891	1745.6155662089493	5615.149140555911
P441-PWY	superpathway of N-acetylneuraminate degradation	2204.4024696724305	94.88597546898686	402.153201662456	5076.958061110329
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	24337.09146966395	24845.76755449718	26290.820764802324	23021.928309250547
P562-PWY	myo-inositol degradation I	16664.53274201789	17861.555524995274	18911.172413793105	16558.2051024891
PANTO-PWY	phosphopantothenate biosynthesis I	19279.092905229765	20905.423615796084	20367.160066183074	19408.120825400703
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	18151.451379852027	19819.381361071624	19053.52386380213	18474.332678963987
PENTOSE-P-PWY	pentose phosphate pathway	22703.68915793444	25142.609005173857	25588.73390047604	23392.005062464366
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	18440.49699501421	20194.79555368387	19048.570219687128	18995.283809364915
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	23452.08582721545	26103.57460184958	24665.32432751949	24493.49105118561
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	5408.841388699025	9616.543445686071	4703.246795861724	4969.024632014833
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	18590.441647134623	19642.825531168102	19569.233104983872	17253.28814908279
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	16685.381440224144	18022.61237038176	18117.47934822632	17900.6789204029
PPGPPMET-PWY	ppGpp biosynthesis	18829.356677095744	21735.768767911628	20097.734905380257	18731.86315802944
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	19097.63158797249	21007.11793745082	23473.27302268782	24161.09151903871
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	19553.934682490464	21041.895307942887	20859.14945079605	20368.646657212357
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	18239.00161763604	18555.377330155883	20407.9942410678	19350.44336610274
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	382.1582819231056	0.0	13.997301721168474	972.573086309559
PWY-2941	L-lysine biosynthesis II	6.998499488825989	0.0	33.966359740157166	0.0
PWY-2942	L-lysine biosynthesis III	24478.71452373836	26824.61258801053	25749.546291893686	25543.66071200418
PWY-3001	superpathway of L-isoleucine biosynthesis I	23069.88579315867	25419.951017375253	24340.89365705873	24495.242273776043
PWY-3781	aerobic respiration I (cytochrome c)	277.6858009317293	5298.577055103047	1009.469643509543	2768.8091298277
PWY-4984	urea cycle	13.119020227581062	27.975362837944104	486.2895838081683	1212.0193458741571
PWY-5022	4-aminobutanoate degradation V	234.12153838994124	920.0370181735998	157.62386337097615	1006.043534098234
PWY-5028	L-histidine degradation II	3781.448858151047	5108.675549663645	4456.27238170769	4340.951845415874
PWY-5097	L-lysine biosynthesis VI	23127.399717723067	25355.513418646293	24285.67831824958	24189.3082105494
PWY-5100	pyruvate fermentation to acetate and lactate II	17593.249676113646	18798.98604534245	17775.671500210457	17045.54664469051
PWY-5101	L-isoleucine biosynthesis II	24311.792342757733	26638.05219478144	25355.267374711388	25913.420024191084
PWY-5103	L-isoleucine biosynthesis III	21209.544170669484	23229.76210782076	22215.702782632976	22538.91939126848
PWY-5104	L-isoleucine biosynthesis IV	21578.240726590822	23739.776065167676	21870.27310291483	21316.125091550617
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	16375.10990792328	17716.428462542204	17519.89148164039	16839.044985917575
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	19569.404962431046	21405.64828868289	20752.260515828137	20249.46525926025
PWY-5177	glutaryl-CoA degradation	4937.836648907087	0.0	17.496319205818068	203.49779647298772
PWY-5178	toluene degradation IV (aerobic) (via catechol)	0.0	0.0	30.73361720211574	101.04361260484484
PWY-5180	toluene degradation I (aerobic) (via o-cresol)	0.0	16200.993740081332	17611.11832272184	15194.211531294874
PWY-5181	toluene degradation III (aerobic) (via p-cresol)	16792.473780775104	18392.887304092197	20180.87319780985	19260.14686568942
PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)	0.0	16200.993740081332	17611.11832272184	15194.211531294874
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	17331.508312531547	19108.372335904973	18079.63490065413	17917.58037610963
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	17388.753366021832	19241.62334052405	18074.72613094827	17941.64783764316
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)	1234.5	4402.0	17.5	0.0
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	10979.045490957236	14984.381707244233	4373.261034515685	11520.510419807497
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	24981.18597987416	27497.29293257136	26189.84194399729	24494.340018876843
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	22132.884381656608	24543.17934278233	25556.305012224937	22400.7657315923
PWY-5415	catechol degradation I (meta-cleavage pathway)	0.0	22.4822954583163	17.49011275417486	56.55526069562536
PWY-5417	catechol degradation III (ortho-cleavage pathway)	14304.095467289526	15653.589295607737	17417.9271336708	17304.714392097238
PWY-5419	catechol degradation to 2-oxopent-4-enoate II	0.0	11.998700876908089	0.0	30.21780602254579
PWY-5420	catechol degradation II (meta-cleavage pathway)	0.0	20.986709870233565	0.0	52.80664725106806
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	14304.095467289526	15653.589295607737	17417.9271336708	17304.714392097238
PWY-5484	glycolysis II (from fructose 6-phosphate)	24050.965673952345	26305.520922040505	26328.00824314282	25267.079767052328
PWY-5505	L-glutamate and L-glutamine biosynthesis	18027.012223366102	20270.394062499672	20043.79031625906	20326.922970224296
PWY-5507	adenosylcobalamin biosynthesis I (early cobalt insertion)	0.0	190.9809201829144	846.7114053474692	2409.794628885745
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	17178.631033984897	18261.7204191898	17647.924153823897	17327.99849265193
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	0.0	0.0	108.1279019993293	173.5844994589976
PWY-5659	GDP-mannose biosynthesis	15666.60395175292	16554.548714287776	16753.183601466844	16948.365328120068
PWY-5667	CDP-diacylglycerol biosynthesis I	20977.644907546757	23626.22921718016	21800.035510307996	21976.709390156942
PWY-5676	acetyl-CoA fermentation to butanoate II	5167.393478194776	106.3243377746703	1066.0617954706186	2136.481700152317
PWY-5677	succinate fermentation to butanoate	0.0	0.0	5.58485578223957	0.0
PWY-5686	UMP biosynthesis	20498.991910594686	22106.54762061344	21622.405595115622	21458.006867656924
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	20840.729958282904	22496.24362443854	21164.421251840253	20167.814334129325
PWY-5705	allantoin degradation to glyoxylate III	92.47360327163832	1750.630091155231	1162.7132452401995	4024.754704000116
PWY-5747	2-methylcitrate cycle II	32.94255029234412	620.6889297785436	840.8028363351042	2880.035817081927
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I	15994.46153846154	17180.63251212949	18711.05387800706	16186.111736592396
PWY-5838	superpathway of menaquinol-8 biosynthesis I	15615.18196090152	16475.90410653218	18012.110381365354	16112.061611315055
PWY-5840	superpathway of menaquinol-7 biosynthesis	15614.115135333104	16455.280999137234	17980.58346524665	16017.872890492496
PWY-5845	superpathway of menaquinol-9 biosynthesis	15614.115135333104	16455.280999137234	17980.58346524665	16017.872890492496
PWY-5850	superpathway of menaquinol-6 biosynthesis I	15614.115135333104	16455.280999137234	17980.58346524665	16017.872890492496
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)	18380.025669254475	20251.04167232164	21168.18197921068	20150.84509236695
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)	18380.025669254475	20251.04167232164	21168.18197921068	20150.84509236695
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)	18380.025669254475	20251.04167232164	21168.18197921068	20150.84509236695
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I	15333.893382223208	16470.277387429414	17937.80768296392	15470.177701028386
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis	15335.436747895375	16501.28794393972	17984.914320655556	15602.312888811142
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	15333.893382223208	16470.277387429414	17937.80768296392	15470.177701028386
PWY-5863	superpathway of phylloquinol biosynthesis	15842.133333333337	17016.11476645335	18526.074615756057	16021.347018197792
PWY-5896	superpathway of menaquinol-10 biosynthesis	15614.115135333104	16455.280999137234	17980.58346524665	16017.872890492496
PWY-5897	superpathway of menaquinol-11 biosynthesis	15663.12364950675	16506.231113739395	18038.275909087555	16072.396788020656
PWY-5898	superpathway of menaquinol-12 biosynthesis	15663.12364950675	16506.231113739395	18038.275909087555	16072.396788020656
PWY-5899	superpathway of menaquinol-13 biosynthesis	15663.12364950675	16506.231113739395	18038.275909087555	16072.396788020656
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	3.499225787384078	0.0	16.74198258496745	0.0
PWY-5913	TCA cycle VI (obligate autotrophs)	19622.00391190322	21811.88751234278	23375.35898873392	22082.36259009318
PWY-5918	superpathay of heme biosynthesis from glutamate	16412.978142599142	17931.59698544924	18053.575054673624	17638.392461075902
PWY-5920	superpathway of heme biosynthesis from glycine	0.0	35.94550636607877	190.48018799193648	0.0
PWY-5971	palmitate biosynthesis II (bacteria and plants)	345.62576040757995	0.0	1614.496134832505	0.0
PWY-5973	cis-vaccenate biosynthesis	33792.96869422244	37056.88482114011	37266.42859063083	34736.52525834194
PWY-5989	stearate biosynthesis II (bacteria and plants)	22432.83427569543	25049.787919364084	25903.403288647623	24687.707877796867
PWY-6071	superpathway of phenylethylamine degradation	16781.22804036847	18395.275887894724	19688.40367014648	18650.86851987187
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	19044.1322919984	20566.79034475584	20129.50119381493	19919.488991642887
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	17284.328480159656	18640.969379860595	18122.93702869792	17976.42808477488
PWY-6123	inosine-5'-phosphate biosynthesis I	17254.946272361452	18630.10183736897	18139.2630687228	17919.246957252697
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	21139.853792796115	22317.26005206112	22544.78125879821	22062.35283366088
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	21359.989784948128	23347.339940315607	22232.18976359572	21898.615934033547
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	16541.827642887405	16771.790353736225	18271.183657338894	18293.91919609631
PWY-6151	S-adenosyl-L-methionine cycle I	19463.1524018944	22137.95250591854	21641.5074120196	21890.731659014837
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	25498.43743985288	27976.684813762247	27321.290067073936	26577.67335831138
PWY-6182	superpathway of salicylate degradation	14121.059578323237	15454.20849053528	16976.017409077223	16226.044877017714
PWY-6185	4-methylcatechol degradation (ortho cleavage)	14568.464624726968	15930.459377190493	17511.703373072713	16660.66485488487
PWY-621	sucrose degradation III (sucrose invertase)	34804.50986430279	41861.59763732125	37294.19902943536	32963.49644897506
PWY-6263	superpathway of menaquinol-8 biosynthesis II	3251.8012549085674	0.0	19.73257147531983	149.73762295577936
PWY-6269	adenosylcobalamin salvage from cobinamide II	17264.67991016514	18345.273029774897	17750.65448176385	17454.186333004633
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	17284.328480159656	18640.969379860595	18122.93702869792	17976.42808477488
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	24377.387789721924	27310.756750018576	28872.82188254243	27166.875265202118
PWY-6317	galactose degradation I (Leloir pathway)	20120.469883422324	22614.16350986405	20165.703001269758	18888.76138953426
PWY-6339	syringate degradation	0.0	0.0	24766.55546265281	0.0
PWY-6353	purine nucleotides degradation II (aerobic)	4698.3151963818445	7652.556066311988	5962.192013339602	14866.10505909416
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	18393.09144076839	20192.894729435026	19048.570219687128	18990.188153508
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	18407.7253626009	20071.02069084734	18933.604189474947	18997.2148457063
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	18675.66853667004	20331.60772217597	19294.996645494382	19282.604275820777
PWY-6396	superpathway of 2,3-butanediol biosynthesis	1204.3689086283532	35.947820242763584	2136.303193201869	6919.046893831843
PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	16201.2	16425.37	18060.0	17238.47
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	0.0	0.0	8.761858457282322	0.0
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	16.786963570689817	0.0	66.99765469351753	0.0
PWY-6478	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	187.57418854096372	4.399410100314999	0.0	485.58914284149273
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	4436.797447697839	7252.332668907337	3973.863291927511	4027.7731121777706
PWY-6519	8-amino-7-oxononanoate biosynthesis I	21836.17359572824	24280.58918433129	25890.272293173926	24537.412077885387
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	4906.11185359478	0.0	250.97443694620225	227.6847203414291
PWY-6562	norspermidine biosynthesis	3134.081908161247	3765.5110415770655	84.27090114316708	341.3986768197436
PWY-6572	chondroitin sulfate degradation I (bacterial)	0.0	25.581450955529387	0.0	0.0
PWY-6588	pyruvate fermentation to acetone	861.139661876649	0.0	183.34652429924728	3642.1924093396287
PWY-6590	superpathway of Clostridium acetobutylicum acidogenic fermentation	892.5530858305466	33.30247869898372	153.58354897347095	1185.5018141758153
PWY-6608	guanosine nucleotides degradation III	19166.21259415417	20982.933592682755	19714.01290610748	19971.880626905568
PWY-6609	adenine and adenosine salvage III	18012.47531598915	19463.022166890485	17887.598648909658	17524.6147650631
PWY-6612	superpathway of tetrahydrofolate biosynthesis	20124.054103866893	21109.870729045364	22089.39113797639	22604.031871967047
PWY-6628	superpathway of L-phenylalanine biosynthesis	26018.996586989284	28235.114157317494	27974.36326534891	27087.917711944647
PWY-6630	superpathway of L-tyrosine biosynthesis	24316.323570635457	26269.891131623805	25880.8097258541	24753.091651421317
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	13091.0	13910.99870633894	15234.0	13106.587570278853
PWY-6700	queuosine biosynthesis	16710.931558530297	17459.224694511955	18111.300801934485	17582.218266198357
PWY-6703	preQ0 biosynthesis	16696.918604871942	17416.793958124086	18028.46757848058	17503.966964704032
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	18380.025669254475	20251.04167232164	21168.18197921068	20150.84509236695
PWY-6713	L-rhamnose degradation II	57.84950424604119	1093.660856731001	0.0	435.8987223267223
PWY-6737	starch degradation V	21814.03108706454	23811.083368217664	22853.868261581887	21106.906083645063
PWY-6749	CMP-legionaminate biosynthesis I	0.0	17.991410500693927	0.0	0.0
PWY-6876	isopropanol biosynthesis	434.2531348279756	0.0	0.0	3642.1924093396287
PWY-6891	thiazole biosynthesis II (Bacillus)	16599.871333170056	17464.01641037079	18686.711375900763	17603.280994108027
PWY-6892	thiazole biosynthesis I (E. coli)	18350.798570516115	19101.262826397226	19625.651188049156	19040.61488422408
PWY-6895	superpathway of thiamin diphosphate biosynthesis II	16793.132592647245	17608.726154805565	18193.89820294758	17627.967820629357
PWY-6897	thiamin salvage II	16804.401817618902	17582.605845737988	18083.203959434763	17617.41452452394
PWY-6901	superpathway of glucose and xylose degradation	24701.419439759597	27568.38460395822	26826.396766881884	25015.521293593927
