function	description	HC-DS	HC-HD	HC-HX	HC-XY
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	17253.78	18626.37	18029.25	17507.809999999998
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	17253.78	18626.37	18077.25	17926.809999999998
K00054	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	1.75	9.0	8.5	22.67
K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	13091.0	13908.0	15313.0	13163.5
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	17255.53	18626.37	18122.75	17926.809999999998
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	44780.81	51357.53999999999	48686.25	44593.96000000001
K00059	fabG; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	50398.91	59278.79	56320.25	56885.06
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	14852.0	15967.37	17406.0	15042.67
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	23.2	458.0	0.0	2144.8
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	28350.52	30313.17	32648.25	29283.65
K00066	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	23.2	460.2	0.0	177.8
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	3434.6400000000003	4056.57	1311.75	2962.45
K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	15797.0	16487.17	18104.0	15539.67
K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	26941.94	28375.34	31702.75	31581.83
K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	17255.53	18626.37	18122.75	17926.809999999998
K00077	panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]	30467.56	33029.54	32712.0	29087.45
K00086	dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]	13310.0	13908.0	15234.0	13076.5
K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]	418.16	0.0	13.5	493.34
K00088	IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]	17349.86	18626.37	18124.75	18150.81
K00090	ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]	14875.2	16405.17	18010.0	17187.47
K00094	E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	2481.75	2568.0	2865.5	2417.5
K00096	araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	831.0	2201.0	0.0	0.0
K00097	pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	38979.27	41710.53999999999	45663.5	41976.66
K00098	idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]	23.2	458.0	0.0	200.47000000000003
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	17253.78	18617.37	18114.25	17904.14
K00100	bdhAB; butanol dehydrogenase [EC:1.1.1.-]	3232.78	4880.2	2264.25	8762.47
K00101	lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]	26205.2	28311.17	31287.0	28498.480000000003
K00102	LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]	0.0	9.0	68.0	22.67
K00104	glcD; glycolate oxidase [EC:1.1.3.15]	2503.0	2210.0	159.25	492.67
K00105	E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]	1.75	0.0	1.5	0.0
K00108	betA, CHDH; choline dehydrogenase [EC:1.1.99.1]	14921.6	17367.34	18010.0	17587.41
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]	31807.11	32361.34	35481.75	33570.82
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]	14857.25	15947.17	17381.75	14955.67
K00113	glpC; glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]	14857.25	15947.17	17381.75	14955.67
K00116	mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]	26228.4	28769.17	31083.0	28630.94
K00117	gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]	13114.2	14403.17	16385.0	19287.97
K00121	frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]	14875.2	16414.17	18546.0	17187.47
K00123	fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]	70313.5	73627.34	80588.5	69396.18
K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit	14857.25	15956.17	17401.75	15001.01
K00126	fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]	0.0	9.0	0.0	22.67
K00127	fdoI, fdsG; formate dehydrogenase subunit gamma	14857.25	15956.17	17401.75	15001.01
K00128	ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	1028.05	4105.0	873.75	5243.21
K00129	E1.2.1.5; aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]	2480.0	2568.0	2864.0	2417.5
K00130	betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]	17378.4	19431.17	21342.0	23716.77
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	658.2	2668.0	587.0	596.8
K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]	5.25	0.0	6.75	0.0
K00133	asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	30346.53	32534.37	33356.75	31027.31
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	34181.73	37045.54	38336.0	37028.61
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	41082.15	44781.51	49083.5	47542.280000000006
K00137	prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]	13137.4	14844.17	15234.0	13477.77
K00138	aldB; aldehyde dehydrogenase [EC:1.2.1.-]	13114.2	14412.17	15917.0	15376.64
K00140	mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	14921.6	17330.17	18614.0	19532.74
K00141	xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]	0.0	0.0	147.0	2054.0
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	17276.98	19084.37	18029.25	17662.940000000002
K00146	feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]	26228.4	28769.17	31004.0	28543.94
K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	17253.78	18626.37	18073.25	17926.809999999998
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]	23.2	458.0	0.0	177.8
K00151	hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	13114.2	14403.17	15234.0	13322.64
K00154	E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]	23.2	458.0	1219.0	4198.8
K00156	poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]	13114.2	14414.37	15849.0	13409.64
K00158	E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]	1.75	0.0	1.5	0.0
K00161	PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	13114.2	14384.0	15856.0	15308.3
K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	13114.2	14384.0	15856.0	15308.3
K00163	aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]	14944.8	17788.17	18089.0	17853.21
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	14875.2	16414.17	18010.0	17210.14
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	23.2	458.0	0.0	200.47000000000003
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	23.2	458.0	0.0	200.47000000000003
K00169	porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	5.25	0.0	6.75	0.0
K00170	porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	5.25	0.0	6.75	0.0
K00171	porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	5.25	0.0	6.75	0.0
K00172	porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]	5.25	0.0	6.75	0.0
K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	1971.5	2223.4	155.0	470.0
K00175	korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	1971.5	2223.4	155.0	470.0
K00176	korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	1359.5	11.2	105.5	470.0
K00177	korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	1359.5	11.2	105.5	470.0
K00179	iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]	193.91	11.2	54.25	912.34
K00180	iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]	1519.91	11.2	54.25	986.01
K00184	K00184; prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit	15.75	0.0	20.25	0.0
K00185	K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit	15.75	0.0	20.25	0.0
K00194	cdhD, acsD; acetyl-CoA decarbonylase/synthase complex subunit delta [EC:2.1.1.245]	5.25	0.0	6.75	0.0
K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	99.58	0.0	6.75	246.67
K00197	cdhE, acsC; acetyl-CoA decarbonylase/synthase complex subunit gamma [EC:2.1.1.245]	5.25	0.0	6.75	0.0
K00198	cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	138.32999999999998	0.0	72.5	665.67
K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	14852.0	15948.2	18047.0	16946.34
K00209	fabV, ter; enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]	23.2	495.17	79.0	309.14000000000004
K00210	E1.3.1.12; prephenate dehydrogenase [EC:1.3.1.12]	0.0	11.2	0.0	0.0
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]	17349.86	18635.37	18166.75	18592.480000000003
K00216	entA; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]	13091.0	13945.17	15849.0	15176.17
K00219	fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]	14880.45	16405.17	18484.75	19154.47
K00220	tyrC; cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]	0.0	9.0	0.0	0.0
K00226	pyrD; dihydroorotate dehydrogenase (fumarate) [EC:1.3.98.1]	96.08	11.2	10.5	246.67
K00228	CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]	14875.2	16414.17	18010.0	17210.14
K00230	hemG; menaquinone-dependent protoporphyrinogen oxidase [EC:1.3.5.3]	14852.0	15958.37	17327.0	14955.67
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]	0.0	0.0	48.0	0.0
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]	16229.45	16425.37	18068.75	17261.14
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]	16206.45	16425.37	18066.75	17261.14
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	16206.45	16425.37	18064.75	17261.14
K00242	sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit	14875.2	16414.17	18010.0	17210.14
K00243	K00243; uncharacterized protein	2380.53	2670.2	109.25	894.47
K00244	frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	28570.75	32065.17	32574.5	28056.17
K00245	frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	14852.0	15956.17	17327.0	14955.67
K00246	frdC; fumarate reductase subunit C	14852.0	15956.17	17327.0	14955.67
K00247	frdD; fumarate reductase subunit D	14852.0	15956.17	17327.0	14955.67
K00248	ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]	784.45	458.0	118.75	596.8
K00249	ACADM, acd; acyl-CoA dehydrogenase [EC:1.3.8.7]	98.05	1850.0	1750.75	6680.21
K00252	GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]	23.2	476.0	683.0	2254.4700000000003
K00253	IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]	23.2	467.0	683.0	2254.4700000000003
K00254	DHODH, pyrD; dihydroorotate dehydrogenase [EC:1.3.5.2]	14875.2	16414.17	18010.0	17187.47
K00255	ACADL; long-chain-acyl-CoA dehydrogenase [EC:1.3.8.8]	0.0	0.0	1072.0	3934.0
K00257	mbtN, fadE14; acyl-ACP dehydrogenase [EC:1.3.99.-]	116.0	2328.2	3997.0	14964.34
K00259	ald; alanine dehydrogenase [EC:1.4.1.1]	1336.5	20.2	68.5	51.0
K00260	gudB, rocG; glutamate dehydrogenase [EC:1.4.1.2]	94.33	0.0	0.0	246.67
K00261	GLUD1_2, gdhA; glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3]	13185.33	13945.17	15838.0	15334.51
K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	14166.78	16626.57	15903.25	15955.31
K00263	E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]	28.45	467.0	85.75	264.8
K00265	gltB; glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]	14875.2	16425.37	18012.0	17187.47
K00266	gltD; glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]	19351.89	23506.57	18166.5	19016.95
K00274	MAO, aofH; monoamine oxidase [EC:1.4.3.4]	854.2	2659.0	0.0	177.8
K00275	pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	14898.4	16883.37	18010.0	17387.940000000002
K00276	AOC3, AOC2, tynA; primary-amine oxidase [EC:1.4.3.21]	13091.0	13908.0	15770.0	15067.5
K00278	nadB; L-aspartate oxidase [EC:1.4.3.16]	17253.78	18626.37	17875.25	17398.14
K00281	GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]	14875.2	16425.37	17474.0	15243.14
K00282	gcvPA; glycine dehydrogenase subunit 1 [EC:1.4.4.2]	216.91	0.0	6.75	493.34
K00283	gcvPB; glycine dehydrogenase subunit 2 [EC:1.4.4.2]	216.91	0.0	6.75	493.34
K00284	E1.4.7.1; glutamate synthase (ferredoxin) [EC:1.4.7.1]	930.58	2201.0	10.25	246.67
K00285	dadA; D-amino-acid dehydrogenase [EC:1.4.5.1]	28012.6	31274.17	33916.0	32699.92
K00286	proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]	17255.53	18628.57	18610.75	19893.81
K00287	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]	17321.61	18626.37	18116.0	18173.480000000003
K00290	LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]	859.25	2212.2	56.25	0.0
K00294	E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase [EC:1.2.1.88]	5.25	0.0	6.75	0.0
K00297	metF, MTHFR; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	16642.36	16425.37	18699.0	19831.15
K00299	ssuE; FMN reductase [EC:1.5.1.38]	13137.4	14861.17	15928.0	15641.44
K00302	soxA; sarcosine oxidase, subunit alpha [EC:1.5.3.1]	28.45	467.0	6.75	177.8
K00303	soxB; sarcosine oxidase, subunit beta [EC:1.5.3.1]	56.9	943.0	13.5	400.94000000000005
K00304	soxD; sarcosine oxidase, subunit delta [EC:1.5.3.1]	23.2	467.0	0.0	177.8
K00305	soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.1]	23.2	467.0	0.0	177.8
K00311	ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]	23.2	467.0	683.0	2254.4700000000003
K00313	fixC; electron transfer flavoprotein-quinone oxidoreductase [EC:1.5.5.-]	5.25	0.0	8.75	0.0
K00316	spdH; spermidine dehydrogenase [EC:1.5.99.6]	23.2	495.17	0.0	199.47
K00322	sthA, udhA; NAD(P) transhydrogenase [EC:1.6.1.1]	14875.2	16405.17	17863.0	17100.47
K00324	pntA; NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]	14898.4	16881.17	18629.0	19464.61
K00325	pntB; NAD(P) transhydrogenase subunit beta [EC:1.6.1.2]	14875.2	16414.17	18012.0	17187.47
K00330	nuoA; NADH-quinone oxidoreductase subunit A [EC:1.6.5.3]	16211.7	16425.37	17535.5	15294.14
K00331	nuoB; NADH-quinone oxidoreductase subunit B [EC:1.6.5.3]	16211.7	16425.37	18071.5	17261.14
K00332	nuoC; NADH-quinone oxidoreductase subunit C [EC:1.6.5.3]	1336.5	9.0	160.5	160.67000000000002
K00333	nuoD; NADH-quinone oxidoreductase subunit D [EC:1.6.5.3]	1336.5	9.0	160.5	160.67000000000002
K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:1.6.5.3]	15132.95	16425.37	18075.75	17629.14
K00335	nuoF; NADH-quinone oxidoreductase subunit F [EC:1.6.5.3]	15138.2	16425.37	18082.5	17606.47
K00336	nuoG; NADH-quinone oxidoreductase subunit G [EC:1.6.5.3]	16753.95	16425.37	18121.75	18099.14
K00337	nuoH; NADH-quinone oxidoreductase subunit H [EC:1.6.5.3]	16211.7	16425.37	18071.5	17238.47
K00338	nuoI; NADH-quinone oxidoreductase subunit I [EC:1.6.5.3]	16211.7	16425.37	18071.5	17261.14
K00339	nuoJ; NADH-quinone oxidoreductase subunit J [EC:1.6.5.3]	16206.45	16425.37	18064.75	17261.14
K00340	nuoK; NADH-quinone oxidoreductase subunit K [EC:1.6.5.3]	16206.45	16425.37	18064.75	17261.14
K00341	nuoL; NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]	16206.45	16425.37	18064.75	17261.14
K00342	nuoM; NADH-quinone oxidoreductase subunit M [EC:1.6.5.3]	16206.45	16425.37	18064.75	17261.14
K00343	nuoN; NADH-quinone oxidoreductase subunit N [EC:1.6.5.3]	16206.45	16425.37	18064.75	17261.14
K00344	qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]	14921.6	17339.17	18078.0	19555.41
K00346	nqrA; Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:1.6.5.8]	14852.0	15976.37	17375.0	14955.67
K00347	nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:1.6.5.8]	14852.0	15976.37	17375.0	14955.67
K00348	nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C [EC:1.6.5.8]	14852.0	15976.37	17375.0	14955.67
K00349	nqrD; Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:1.6.5.8]	14852.0	15976.37	17375.0	14955.67
K00350	nqrE; Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:1.6.5.8]	14852.0	15976.37	17375.0	14955.67
K00351	nqrF; Na+-transporting NADH:ubiquinone oxidoreductase subunit F [EC:1.6.5.8]	14852.0	15976.37	17375.0	14955.67
K00355	NQO1; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	13137.4	14861.17	15928.0	15618.77
K00356	E1.6.99.3; NADH dehydrogenase [EC:1.6.99.3]	0.0	9.0	0.0	22.67
K00362	nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]	27966.2	30322.17	33701.0	32190.64
K00363	nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]	13114.2	14412.17	15302.0	13322.64
K00364	E1.7.1.7, guaC; GMP reductase [EC:1.7.1.7]	14853.75	15947.17	17396.5	14955.67
K00366	nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]	219.0	0.0	2.0	0.0
K00368	nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]	0.0	0.0	68.0	22.67
K00370	narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	26182.0	27853.17	30547.0	26332.34
K00371	narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	27508.0	27853.17	30547.0	26383.34
K00372	nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]	13114.2	14375.0	15838.0	15245.3
K00373	narJ, narW; nitrate reductase molybdenum cofactor assembly chaperone NarJ/NarW	27508.0	27853.17	30547.0	26383.34
K00374	narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	27508.0	27853.17	30547.0	26383.34
K00375	K00375; GntR family transcriptional regulator / MocR family aminotransferase	56301.78	62758.68	64757.75	60083.66
K00376	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	0.0	9.0	48.0	0.0
K00380	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]	14875.2	16405.17	18100.0	17361.47
K00381	cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]	14875.2	16414.17	17931.0	17123.14
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]	29725.64	30848.74	34592.75	35785.130000000005
K00383	GSR, gor; glutathione reductase (NADPH) [EC:1.8.1.7]	14875.2	16414.17	17413.0	15220.47
K00384	trxB, TRR; thioredoxin reductase (NADPH) [EC:1.8.1.9]	19523.27	18626.37	18852.25	17588.82
K00385	asrC; anaerobic sulfite reductase subunit C	412.33	0.0	46.0	665.67
K00389	yidH; putative membrane protein	13096.25	13908.0	15240.75	13100.5
K00390	cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]	14875.2	16414.17	17931.0	17100.47
K00394	aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]	617.25	2201.0	8.75	0.0
K00395	aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]	617.25	2201.0	8.75	0.0
K00404	ccoN; cytochrome c oxidase cbb3-type subunit I [EC:1.9.3.1]	69.6	1383.0	68.0	578.7400000000001
K00405	ccoO; cytochrome c oxidase cbb3-type subunit II	46.4	925.0	68.0	400.94000000000005
K00406	ccoP; cytochrome c oxidase cbb3-type subunit III	46.4	925.0	68.0	400.94000000000005
K00407	ccoQ; cytochrome c oxidase cbb3-type subunit IV	46.4	925.0	68.0	378.27
