"sample"	"description"	"taxon"	"taxon_rel_function_abun"
"42"	"HC-DS"	"Arginine and proline metabolism"	"Lachnospiraceae"	1.93470791109342
"43"	"HC-DS"	"Arginine and proline metabolism"	"Lactobacillus"	0.000804676047613
"44"	"HC-DS"	"Arginine and proline metabolism"	"Pseudomonas"	0.181350990387644
"45"	"HC-DS"	"Ascorbate and aldarate metabolism"	"Anaerospora"	0.853832558799026
"46"	"HC-DS"	"Ascorbate and aldarate metabolism"	"Clostridiaceae"	0.736961812628571
"47"	"HC-DS"	"Ascorbate and aldarate metabolism"	"Desulfosporosinus"	0.001690279386763
"48"	"HC-DS"	"Ascorbate and aldarate metabolism"	"Klebsiella"	94.9924137041542
"49"	"HC-DS"	"Ascorbate and aldarate metabolism"	"Lachnospiraceae"	0.857036040684413
"50"	"HC-DS"	"Ascorbate and aldarate metabolism"	"Lactobacillus"	0.002817132311271
"51"	"HC-DS"	"Ascorbate and aldarate metabolism"	"Pseudomonas"	0.074694250995993
"52"	"HC-DS"	"Atrazine degradation"	"Klebsiella"	32.5138003377965
"53"	"HC-DS"	"Atrazine degradation"	"Lachnospiraceae"	0.078095047128163
"54"	"HC-DS"	"Atrazine degradation"	"Pseudomonas"	0.076828372453022
"55"	"HC-DS"	"Bacterial chemotaxis"	"Anaerospora"	12.5254832253282
"56"	"HC-DS"	"Bacterial chemotaxis"	"Clostridiaceae"	3.45499301998193
"57"	"HC-DS"	"Bacterial chemotaxis"	"Desulfosporosinus"	0.053559192977082
"58"	"HC-DS"	"Bacterial chemotaxis"	"Klebsiella"	50.593506164545
"59"	"HC-DS"	"Bacterial chemotaxis"	"Lachnospiraceae"	9.0426205328666
"60"	"HC-DS"	"Bacterial chemotaxis"	"Lactobacillus"	0.001322449209311
"61"	"HC-DS"	"Bacterial chemotaxis"	"Pseudomonas"	0.36816985987209
"62"	"HC-DS"	"Bacterial invasion of epithelial cells"	"Klebsiella"	0.309255272736545
"63"	"HC-DS"	"Bacterial secretion system"	"Anaerospora"	2.89416259889119
"64"	"HC-DS"	"Bacterial secretion system"	"Clostridiaceae"	0.526449486314142
"65"	"HC-DS"	"Bacterial secretion system"	"Desulfosporosinus"	0.013750546284325
"66"	"HC-DS"	"Bacterial secretion system"	"Klebsiella"	95.7249008607112
"67"	"HC-DS"	"Bacterial secretion system"	"Lachnospiraceae"	1.73614833911161
"68"	"HC-DS"	"Bacterial secretion system"	"Lactobacillus"	0.002291757714054
"69"	"HC-DS"	"Bacterial secretion system"	"Pseudomonas"	0.300445798601835
"70"	"HC-DS"	"Base excision repair"	"Anaerospora"	3.29335415536766
"71"	"HC-DS"	"Base excision repair"	"Clostridiaceae"	0.762488480918457
"72"	"HC-DS"	"Base excision repair"	"Desulfosporosinus"	0.018834541738214
"73"	"HC-DS"	"Base excision repair"	"Klebsiella"	56.4086936050011
"74"	"HC-DS"	"Base excision repair"	"Lachnospiraceae"	2.47998343553798
"75"	"HC-DS"	"Base excision repair"	"Lactobacillus"	0.004346432708819
"76"	"HC-DS"	"Base excision repair"	"Pseudomonas"	0.115242558679532
"77"	"HC-DS"	"Benzoate degradation"	"Anaerospora"	0.60667050230457
"78"	"HC-DS"	"Benzoate degradation"	"Clostridiaceae"	0.160589250610034
"79"	"HC-DS"	"Benzoate degradation"	"Desulfosporosinus"	0.017614490451528
"80"	"HC-DS"	"Benzoate degradation"	"Klebsiella"	80.8075043646572
"81"	"HC-DS"	"Benzoate degradation"	"Lachnospiraceae"	0.398596855616721
"82"	"HC-DS"	"Benzoate degradation"	"Lactobacillus"	0.000800658656888
"83"	"HC-DS"	"Benzoate degradation"	"Pseudomonas"	0.116758908135842
"84"	"HC-DS"	"beta-Alanine metabolism"	"Anaerospora"	2.4010753556889
"85"	"HC-DS"	"beta-Alanine metabolism"	"Clostridiaceae"	0.690988201908661
"86"	"HC-DS"	"beta-Alanine metabolism"	"Desulfosporosinus"	0.013309128102801
"87"	"HC-DS"	"beta-Alanine metabolism"	"Klebsiella"	56.6146769538664
"88"	"HC-DS"	"beta-Alanine metabolism"	"Lachnospiraceae"	1.47480349811146
"89"	"HC-DS"	"beta-Alanine metabolism"	"Pseudomonas"	0.184842965542023
"90"	"HC-DS"	"beta-Lactam resistance"	"Clostridiaceae"	0.778011454878523
"91"	"HC-DS"	"beta-Lactam resistance"	"Desulfosporosinus"	0.022818771721298
"92"	"HC-DS"	"beta-Lactam resistance"	"Klebsiella"	18.9663835303813
"93"	"HC-DS"	"beta-Lactam resistance"	"Lachnospiraceae"	3.2066821476941
"94"	"HC-DS"	"beta-Lactam resistance"	"Pseudomonas"	0.033612412948197
"95"	"HC-DS"	"Biosynthesis of ansamycins"	"Anaerospora"	15.3689860583824
"96"	"HC-DS"	"Biosynthesis of ansamycins"	"Clostridiaceae"	6.22409163902818
"97"	"HC-DS"	"Biosynthesis of ansamycins"	"Desulfosporosinus"	0.06085005792346
"98"	"HC-DS"	"Biosynthesis of ansamycins"	"Klebsiella"	580.706590872608
"99"	"HC-DS"	"Biosynthesis of ansamycins"	"Lachnospiraceae"	16.3733017763001
"100"	"HC-DS"	"Biosynthesis of ansamycins"	"Lactobacillus"	0.040566705282307
"101"	"HC-DS"	"Biosynthesis of ansamycins"	"Pseudomonas"	0.268899303585575
"102"	"HC-DS"	"Biosynthesis of siderophore group nonribosomal peptides"	"Klebsiella"	29.087414295591
"103"	"HC-DS"	"Biosynthesis of unsaturated fatty acids"	"Anaerospora"	1.02459907055883
"104"	"HC-DS"	"Biosynthesis of unsaturated fatty acids"	"Clostridiaceae"	0.330328885870211
"105"	"HC-DS"	"Biosynthesis of unsaturated fatty acids"	"Desulfosporosinus"	0.010141676320577
"106"	"HC-DS"	"Biosynthesis of unsaturated fatty acids"	"Klebsiella"	42.3168688530575
"107"	"HC-DS"	"Biosynthesis of unsaturated fatty acids"	"Lachnospiraceae"	0.799998609141534
"108"	"HC-DS"	"Biosynthesis of unsaturated fatty acids"	"Lactobacillus"	0.00270444701882
"109"	"HC-DS"	"Biosynthesis of unsaturated fatty acids"	"Pseudomonas"	0.134449651792788
"110"	"HC-DS"	"Biosynthesis of vancomycin group antibiotics"	"Anaerospora"	7.68449302919122
"111"	"HC-DS"	"Biosynthesis of vancomycin group antibiotics"	"Clostridiaceae"	1.84288746853907
"112"	"HC-DS"	"Biosynthesis of vancomycin group antibiotics"	"Desulfosporosinus"	0.09127508688519
"113"	"HC-DS"	"Biosynthesis of vancomycin group antibiotics"	"Klebsiella"	90.8288531270845
"114"	"HC-DS"	"Biosynthesis of vancomycin group antibiotics"	"Lachnospiraceae"	7.77333411375948
"115"	"HC-DS"	"Biosynthesis of vancomycin group antibiotics"	"Pseudomonas"	0.134449651792788
"116"	"HC-DS"	"Biotin metabolism"	"Anaerospora"	7.68449302919122
"117"	"HC-DS"	"Biotin metabolism"	"Clostridiaceae"	1.33522412814906
"118"	"HC-DS"	"Biotin metabolism"	"Desulfosporosinus"	0.03042502896173
"119"	"HC-DS"	"Biotin metabolism"	"Klebsiella"	103.285149746197
"120"	"HC-DS"	"Biotin metabolism"	"Lachnospiraceae"	1.69065800934541
"121"	"HC-DS"	"Biotin metabolism"	"Lactobacillus"	0.002028335264115
"122"	"HC-DS"	"Biotin metabolism"	"Pseudomonas"	0.134449651792788
"123"	"HC-DS"	"Butanoate metabolism"	"Anaerospora"	2.84654172256146
"124"	"HC-DS"	"Butanoate metabolism"	"Clostridiaceae"	0.98484597014483
"125"	"HC-DS"	"Butanoate metabolism"	"Desulfosporosinus"	0.03814544250561
"126"	"HC-DS"	"Butanoate metabolism"	"Klebsiella"	101.970363879638
"127"	"HC-DS"	"Butanoate metabolism"	"Lachnospiraceae"	1.40685841309617
"128"	"HC-DS"	"Butanoate metabolism"	"Lactobacillus"	0.004045728750595
"129"	"HC-DS"	"Butanoate metabolism"	"Pseudomonas"	0.172397584311067
"130"	"HC-DS"	"C5-Branched dibasic acid metabolism"	"Anaerospora"	8.31797312822646
"131"	"HC-DS"	"C5-Branched dibasic acid metabolism"	"Clostridiaceae"	0.997404017638014
"132"	"HC-DS"	"C5-Branched dibasic acid metabolism"	"Desulfosporosinus"	0.065866303051567
"133"	"HC-DS"	"C5-Branched dibasic acid metabolism"	"Klebsiella"	158.081479691727
"134"	"HC-DS"	"C5-Branched dibasic acid metabolism"	"Lachnospiraceae"	3.41327023639774
"135"	"HC-DS"	"C5-Branched dibasic acid metabolism"	"Lactobacillus"	0.001372214646908
"136"	"HC-DS"	"C5-Branched dibasic acid metabolism"	"Pseudomonas"	0.163724810442466
"137"	"HC-DS"	"Caprolactam degradation"	"Desulfosporosinus"	0.004346432708819
"138"	"HC-DS"	"Caprolactam degradation"	"Klebsiella"	56.1492874623795
"139"	"HC-DS"	"Caprolactam degradation"	"Pseudomonas"	0.153656744906043
"140"	"HC-DS"	"Carbon fixation in photosynthetic organisms"	"Anaerospora"	5.10238551039857
"141"	"HC-DS"	"Carbon fixation in photosynthetic organisms"	"Clostridiaceae"	1.63826593593679
"142"	"HC-DS"	"Carbon fixation in photosynthetic organisms"	"Desulfosporosinus"	0.02020175258642
"143"	"HC-DS"	"Carbon fixation in photosynthetic organisms"	"Klebsiella"	119.989752469367
"144"	"HC-DS"	"Carbon fixation in photosynthetic organisms"	"Lachnospiraceae"	3.45713553999617
"145"	"HC-DS"	"Carbon fixation in photosynthetic organisms"	"Lactobacillus"	0.007856237116941
"146"	"HC-DS"	"Carbon fixation in photosynthetic organisms"	"Pseudomonas"	0.126469384445776
"147"	"HC-DS"	"Carbon fixation pathways in prokaryotes"	"Anaerospora"	5.75102588290165
"148"	"HC-DS"	"Carbon fixation pathways in prokaryotes"	"Clostridiaceae"	0.762666502396635
"149"	"HC-DS"	"Carbon fixation pathways in prokaryotes"	"Desulfosporosinus"	0.055173216462749
"150"	"HC-DS"	"Carbon fixation pathways in prokaryotes"	"Klebsiella"	80.2886651213968
"151"	"HC-DS"	"Carbon fixation pathways in prokaryotes"	"Lachnospiraceae"	1.98188866032027
"152"	"HC-DS"	"Carbon fixation pathways in prokaryotes"	"Lactobacillus"	0.005546513824297
"153"	"HC-DS"	"Carbon fixation pathways in prokaryotes"	"Pseudomonas"	0.127711608537809
"154"	"HC-DS"	"Cell cycle - Caulobacter"	"Anaerospora"	5.28308895756896
"155"	"HC-DS"	"Cell cycle - Caulobacter"	"Clostridiaceae"	1.41802367125206
"156"	"HC-DS"	"Cell cycle - Caulobacter"	"Desulfosporosinus"	0.024720336031406
"157"	"HC-DS"	"Cell cycle - Caulobacter"	"Klebsiella"	60.9703092284039
"158"	"HC-DS"	"Cell cycle - Caulobacter"	"Lachnospiraceae"	3.45165433921763
"159"	"HC-DS"	"Cell cycle - Caulobacter"	"Lactobacillus"	0.00633854770036
"160"	"HC-DS"	"Cell cycle - Caulobacter"	"Pseudomonas"	0.134449651792788
"161"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Anaerospora"	1.77334454519797
"162"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Clostridiaceae"	0.522909288968634
"163"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Desulfosporosinus"	0.01638270790247
"164"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Klebsiella"	19.0774961819375
"165"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Lachnospiraceae"	4.36514688780484
"166"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Lactobacillus"	0.000780128947737
"167"	"HC-DS"	"Chloroalkane and chloroalkene degradation"	"Pseudomonas"	0.113765089978513
"168"	"HC-DS"	"Chlorocyclohexane and chlorobenzene degradation"	"Klebsiella"	31.3667560486407
"169"	"HC-DS"	"Chlorocyclohexane and chlorobenzene degradation"	"Lachnospiraceae"	0.409335442029309
"170"	"HC-DS"	"Chlorocyclohexane and chlorobenzene degradation"	"Lactobacillus"	0.001014167632058
"171"	"HC-DS"	"Chlorocyclohexane and chlorobenzene degradation"	"Pseudomonas"	0.080669791075673
"172"	"HC-DS"	"Citrate cycle (TCA cycle)"	"Anaerospora"	4.32901741353064
"173"	"HC-DS"	"Citrate cycle (TCA cycle)"	"Clostridiaceae"	0.324431452088693
"174"	"HC-DS"	"Citrate cycle (TCA cycle)"	"Desulfosporosinus"	0.034279549654654
"175"	"HC-DS"	"Citrate cycle (TCA cycle)"	"Klebsiella"	99.0836099622096
"176"	"HC-DS"	"Citrate cycle (TCA cycle)"	"Lachnospiraceae"	1.65152748887972
"177"	"HC-DS"	"Citrate cycle (TCA cycle)"	"Lactobacillus"	0.004642022349068
"178"	"HC-DS"	"Citrate cycle (TCA cycle)"	"Pseudomonas"	0.142015277140711
"179"	"HC-DS"	"Cysteine and methionine metabolism"	"Anaerospora"	4.61798363093206
"180"	"HC-DS"	"Cysteine and methionine metabolism"	"Clostridiaceae"	1.30201068327399
"181"	"HC-DS"	"Cysteine and methionine metabolism"	"Desulfosporosinus"	0.024378495789234
"182"	"HC-DS"	"Cysteine and methionine metabolism"	"Klebsiella"	98.3944282871748
"183"	"HC-DS"	"Cysteine and methionine metabolism"	"Lachnospiraceae"	3.62170581927224
"184"	"HC-DS"	"Cysteine and methionine metabolism"	"Lactobacillus"	0.00203154131577
"185"	"HC-DS"	"Cysteine and methionine metabolism"	"Pseudomonas"	0.138509657708628
"186"	"HC-DS"	"D-Alanine metabolism"	"Anaerospora"	5.09703607032548
"187"	"HC-DS"	"D-Alanine metabolism"	"Clostridiaceae"	2.25445826187473
"188"	"HC-DS"	"D-Alanine metabolism"	"Desulfosporosinus"	0.030270859014942
"189"	"HC-DS"	"D-Alanine metabolism"	"Klebsiella"	107.410617581527
"190"	"HC-DS"	"D-Alanine metabolism"	"Lachnospiraceae"	4.52361951241386
"191"	"HC-DS"	"D-Alanine metabolism"	"Lactobacillus"	0.013453715117752
"192"	"HC-DS"	"D-Alanine metabolism"	"Pseudomonas"	0.178357823275341
"193"	"HC-DS"	"D-Arginine and D-ornithine metabolism"	"Lachnospiraceae"	0.54666532989714
"194"	"HC-DS"	"D-Glutamine and D-glutamate metabolism"	"Anaerospora"	4.9818209870668
"195"	"HC-DS"	"D-Glutamine and D-glutamate metabolism"	"Clostridiaceae"	1.19473534983955
"196"	"HC-DS"	"D-Glutamine and D-glutamate metabolism"	"Desulfosporosinus"	0.019724404360559
"197"	"HC-DS"	"D-Glutamine and D-glutamate metabolism"	"Klebsiella"	90.7936248721358
"198"	"HC-DS"	"D-Glutamine and D-glutamate metabolism"	"Lachnospiraceae"	2.85824778159937
"199"	"HC-DS"	"D-Glutamine and D-glutamate metabolism"	"Lactobacillus"	0.00657480145352
"200"	"HC-DS"	"D-Glutamine and D-glutamate metabolism"	"Pseudomonas"	0.145271803544432
"201"	"HC-DS"	"Dioxin degradation"	"Clostridiaceae"	0.263269638362724
"202"	"HC-DS"	"Dioxin degradation"	"Desulfosporosinus"	0.017385730835274
"203"	"HC-DS"	"Dioxin degradation"	"Klebsiella"	76.7281975277325
"204"	"HC-DS"	"Dioxin degradation"	"Lachnospiraceae"	0.603806431909075
"205"	"HC-DS"	"Dioxin degradation"	"Pseudomonas"	0.019207093113255
"206"	"HC-DS"	"DNA replication"	"Anaerospora"	4.43336136299494
"207"	"HC-DS"	"DNA replication"	"Clostridiaceae"	1.13408459602404
"208"	"HC-DS"	"DNA replication"	"Desulfosporosinus"	0.01638270790247
"209"	"HC-DS"	"DNA replication"	"Klebsiella"	63.401525370529
"210"	"HC-DS"	"DNA replication"	"Lachnospiraceae"	2.33896255064542
"211"	"HC-DS"	"DNA replication"	"Lactobacillus"	0.005850967108025
"212"	"HC-DS"	"DNA replication"	"Pseudomonas"	0.093080528164238
"213"	"HC-DS"	"Drug metabolism - other enzymes"	"Anaerospora"	3.4929513769051
"214"	"HC-DS"	"Drug metabolism - other enzymes"	"Clostridiaceae"	1.62319505162061
"215"	"HC-DS"	"Drug metabolism - other enzymes"	"Desulfosporosinus"	0.016595470342762
"216"	"HC-DS"	"Drug metabolism - other enzymes"	"Klebsiella"	76.3907939288817
"217"	"HC-DS"	"Drug metabolism - other enzymes"	"Lachnospiraceae"	3.69575856130022
"218"	"HC-DS"	"Drug metabolism - other enzymes"	"Lactobacillus"	0.004609852872989
"219"	"HC-DS"	"Drug metabolism - other enzymes"	"Pseudomonas"	0.085558869322683
"220"	"HC-DS"	"Epithelial cell signaling in Helicobacter pylori infection"	"Anaerospora"	0.823338538841916
"221"	"HC-DS"	"Epithelial cell signaling in Helicobacter pylori infection"	"Clostridiaceae"	0.131634819181362
"222"	"HC-DS"	"Epithelial cell signaling in Helicobacter pylori infection"	"Desulfosporosinus"	0.002173216354409
"223"	"HC-DS"	"Epithelial cell signaling in Helicobacter pylori infection"	"Klebsiella"	11.5668923030969
"224"	"HC-DS"	"Epithelial cell signaling in Helicobacter pylori infection"	"Lachnospiraceae"	0.301903215954538
"225"	"HC-DS"	"Epithelial cell signaling in Helicobacter pylori infection"	"Pseudomonas"	0.014405319834942
"226"	"HC-DS"	"Fatty acid biosynthesis"	"Anaerospora"	4.50404413797728
"227"	"HC-DS"	"Fatty acid biosynthesis"	"Clostridiaceae"	1.71321814637428
"228"	"HC-DS"	"Fatty acid biosynthesis"	"Desulfosporosinus"	0.033436413637416
"229"	"HC-DS"	"Fatty acid biosynthesis"	"Klebsiella"	106.454323002081
"230"	"HC-DS"	"Fatty acid biosynthesis"	"Lachnospiraceae"	4.14581807847394
"231"	"HC-DS"	"Fatty acid biosynthesis"	"Lactobacillus"	0.011888502626637
"232"	"HC-DS"	"Fatty acid biosynthesis"	"Pseudomonas"	0.246261840123192
"233"	"HC-DS"	"Fatty acid metabolism"	"Anaerospora"	0.960561628648903
"234"	"HC-DS"	"Fatty acid metabolism"	"Clostridiaceae"	0.412911107337763
"235"	"HC-DS"	"Fatty acid metabolism"	"Desulfosporosinus"	0.021551062181225
"236"	"HC-DS"	"Fatty acid metabolism"	"Klebsiella"	52.2670606659623
"237"	"HC-DS"	"Fatty acid metabolism"	"Lachnospiraceae"	0.977778331545501
"238"	"HC-DS"	"Fatty acid metabolism"	"Lactobacillus"	0.000422569846691
"239"	"HC-DS"	"Fatty acid metabolism"	"Pseudomonas"	0.190470340039782
"240"	"HC-DS"	"Flagellar assembly"	"Anaerospora"	8.19803380870867
"241"	"HC-DS"	"Flagellar assembly"	"Clostridiaceae"	1.90821947450512
"242"	"HC-DS"	"Flagellar assembly"	"Desulfosporosinus"	0.029594312890767
"243"	"HC-DS"	"Flagellar assembly"	"Klebsiella"	11.5278713365472
"244"	"HC-DS"	"Flagellar assembly"	"Lachnospiraceae"	4.25726055934703
"245"	"HC-DS"	"Flagellar assembly"	"Pseudomonas"	0.156090680094835
"246"	"HC-DS"	"Folate biosynthesis"	"Anaerospora"	4.47396569252514
"247"	"HC-DS"	"Folate biosynthesis"	"Clostridiaceae"	1.23634152136684
"248"	"HC-DS"	"Folate biosynthesis"	"Desulfosporosinus"	0.02530523581745
"249"	"HC-DS"	"Folate biosynthesis"	"Klebsiella"	85.0559586296125
"250"	"HC-DS"	"Folate biosynthesis"	"Lachnospiraceae"	1.32743555026474
"251"	"HC-DS"	"Folate biosynthesis"	"Lactobacillus"	0.001687015721163
"252"	"HC-DS"	"Folate biosynthesis"	"Pseudomonas"	0.156555058923957
"253"	"HC-DS"	"Fructose and mannose metabolism"	"Anaerospora"	3.84942252922266
"254"	"HC-DS"	"Fructose and mannose metabolism"	"Clostridiaceae"	1.45646902456482
"255"	"HC-DS"	"Fructose and mannose metabolism"	"Desulfosporosinus"	0.008068725690079
"256"	"HC-DS"	"Fructose and mannose metabolism"	"Klebsiella"	97.606307381133
"257"	"HC-DS"	"Fructose and mannose metabolism"	"Lachnospiraceae"	3.67037024857585
"258"	"HC-DS"	"Fructose and mannose metabolism"	"Lactobacillus"	0.01793050153351
"259"	"HC-DS"	"Fructose and mannose metabolism"	"Pseudomonas"	0.075273953104487
"260"	"HC-DS"	"Galactose metabolism"	"Anaerospora"	2.6498131393998
"261"	"HC-DS"	"Galactose metabolism"	"Clostridiaceae"	0.874078632860839
"262"	"HC-DS"	"Galactose metabolism"	"Desulfosporosinus"	0.006294804969162
"263"	"HC-DS"	"Galactose metabolism"	"Klebsiella"	68.9664827473787
"264"	"HC-DS"	"Galactose metabolism"	"Lachnospiraceae"	4.40733467689466
"265"	"HC-DS"	"Galactose metabolism"	"Lactobacillus"	0.010141630228095
"266"	"HC-DS"	"Galactose metabolism"	"Pseudomonas"	0.032453216729904
"267"	"HC-DS"	"Geraniol degradation"	"Desulfosporosinus"	0.007598055709349
"268"	"HC-DS"	"Geraniol degradation"	"Klebsiella"	61.9350083964957
"269"	"HC-DS"	"Geraniol degradation"	"Pseudomonas"	0.33576169991791
"270"	"HC-DS"	"Glutathione metabolism"	"Anaerospora"	1.21334100460914
"271"	"HC-DS"	"Glutathione metabolism"	"Clostridiaceae"	0.424577847766698
"272"	"HC-DS"	"Glutathione metabolism"	"Desulfosporosinus"	0.004803951941326
"273"	"HC-DS"	"Glutathione metabolism"	"Klebsiella"	101.505521936873
"274"	"HC-DS"	"Glutathione metabolism"	"Lachnospiraceae"	0.854032850551922
"275"	"HC-DS"	"Glutathione metabolism"	"Lactobacillus"	0.001601317313775
"276"	"HC-DS"	"Glutathione metabolism"	"Pseudomonas"	0.191060031495014
"277"	"HC-DS"	"Glycerolipid metabolism"	"Anaerospora"	1.9211232572978
"278"	"HC-DS"	"Glycerolipid metabolism"	"Clostridiaceae"	0.84972759457403
"279"	"HC-DS"	"Glycerolipid metabolism"	"Desulfosporosinus"	0.010458603705595
"280"	"HC-DS"	"Glycerolipid metabolism"	"Klebsiella"	66.1927292294123
"281"	"HC-DS"	"Glycerolipid metabolism"	"Lachnospiraceae"	1.94416659470905
"282"	"HC-DS"	"Glycerolipid metabolism"	"Lactobacillus"	0.002852346465162
"283"	"HC-DS"	"Glycerolipid metabolism"	"Pseudomonas"	0.063023274277869
"284"	"HC-DS"	"Glycerophospholipid metabolism"	"Anaerospora"	1.53689860583824
"285"	"HC-DS"	"Glycerophospholipid metabolism"	"Clostridiaceae"	0.705426028641253
"286"	"HC-DS"	"Glycerophospholipid metabolism"	"Desulfosporosinus"	0.012170011584692
"287"	"HC-DS"	"Glycerophospholipid metabolism"	"Klebsiella"	60.8706310382817
"288"	"HC-DS"	"Glycerophospholipid metabolism"	"Lachnospiraceae"	1.31599550984525
"289"	"HC-DS"	"Glycerophospholipid metabolism"	"Lactobacillus"	0.002788960988159
"290"	"HC-DS"	"Glycerophospholipid metabolism"	"Pseudomonas"	0.090753514960132
"291"	"HC-DS"	"Glycine, serine and threonine metabolism"	"Anaerospora"	3.83145252922235
"292"	"HC-DS"	"Glycine, serine and threonine metabolism"	"Clostridiaceae"	0.918855131442465
"293"	"HC-DS"	"Glycine, serine and threonine metabolism"	"Desulfosporosinus"	0.024093177003694
"294"	"HC-DS"	"Glycine, serine and threonine metabolism"	"Klebsiella"	97.1035768762635
"295"	"HC-DS"	"Glycine, serine and threonine metabolism"	"Lachnospiraceae"	2.69161834766156
"296"	"HC-DS"	"Glycine, serine and threonine metabolism"	"Lactobacillus"	0.001487233148376
"297"	"HC-DS"	"Glycine, serine and threonine metabolism"	"Pseudomonas"	0.181391453251091
"298"	"HC-DS"	"Glycolysis / Gluconeogenesis"	"Anaerospora"	3.25948697343174
"299"	"HC-DS"	"Glycolysis / Gluconeogenesis"	"Clostridiaceae"	1.34257548346703
"300"	"HC-DS"	"Glycolysis / Gluconeogenesis"	"Desulfosporosinus"	0.018219118030893
"301"	"HC-DS"	"Glycolysis / Gluconeogenesis"	"Klebsiella"	112.499728128745
"302"	"HC-DS"	"Glycolysis / Gluconeogenesis"	"Lachnospiraceae"	3.0662847944081
"303"	"HC-DS"	"Glycolysis / Gluconeogenesis"	"Lactobacillus"	0.006326082649616
