"description"	"HC.DS"	"HC.HD"	"HC.HX"	"HC.XY"
"ko00650"	"Butanoate metabolism"	0.0125451780986043	0.0123016410638965	0.0131667897824251	0.0128902958338835
"ko00660"	"C5-Branched dibasic acid metabolism"	0.0199746513455392	0.0193481258062349	0.0198524005226473	0.0189820000083997
"ko00670"	"One carbon pool by folate"	0.0111296342511956	0.0109010459375462	0.0111014455587376	0.0111225452213825
"ko00680"	"Methane metabolism"	0.00467824102051941	0.00475024239194152	0.00466698936381901	0.00453874373981766
"ko00710"	"Carbon fixation in photosynthetic organisms"	0.0152217068685781	0.0146866511538966	0.0153392636432763	0.0147580754796652
"ko00720"	"Carbon fixation pathways in prokaryotes"	0.0103904752260404	0.0101759791306785	0.0106773750730279	0.0106158105648221
"ko00730"	"Thiamine metabolism"	0.0120378280759939	0.011880772544891	0.0118553805941733	0.0116228541739952
"ko00740"	"Riboflavin metabolism"	0.0103485678961501	0.0100869175800449	0.0104065827870699	0.0100817299643129
"ko00750"	"Vitamin B6 metabolism"	0.013793111461727	0.0136054122291187	0.0144360471738651	0.0138459157677024
"ko00760"	"Nicotinate and nicotinamide metabolism"	0.0102755982999169	0.010163401171285	0.010424432148992	0.0101166386088492
"ko00770"	"Pantothenate and CoA biosynthesis"	0.0155006149028458	0.0151698810463563	0.0152494303238725	0.0146590436653512
"ko00780"	"Biotin metabolism"	0.0133322039123978	0.0125528069259142	0.013340829273779	0.0129818949945844
"ko00785"	"Lipoic acid metabolism"	0.0101009352423781	0.0100616853202493	0.0113341596522334	0.0115139560782117
"ko00790"	"Folate biosynthesis"	0.0107763921854049	0.0104084508643459	0.0110034792297102	0.0107216814404017
"ko00791"	"Atrazine degradation"	0.00381514386644267	0	0	0.00435577283807413
"ko00830"	"Retinol metabolism"	0	0	0.00120815849960434	0
"ko00860"	"Porphyrin and chlorophyll metabolism"	0.00765690782255077	0.00744294279858466	0.00736190251711709	0.00707122086855789
"ko00900"	"Terpenoid backbone biosynthesis"	0.00871648630495126	0.008554858264517	0.00846035640166685	0.00863154415896347
"ko00906"	"Carotenoid biosynthesis"	0	3.24301649296695e-07	2.48039384007734e-06	8.44458338811402e-07
"ko00908"	"Zeatin biosynthesis"	0.00291956910742579	0.00285420304800012	0.00281691352309908	0.00283445197924785
"ko00910"	"Nitrogen metabolism"	0.00741660054661446	0.00768414542345214	0.00745737849200773	0.00729292433685617
"ko00920"	"Sulfur metabolism"	0.0101296550185436	0.0105257145872403	0.0104430297199934	0.0102428312990245
"ko00930"	"Caprolactam degradation"	0.00657572105101492	0.00667549495119245	0.00742237924906929	0.00828437470397666
"ko00960"	"Tropane, piperidine and pyridine alkaloid biosynthesis"	0	0.00616137949937565	0.00625415804314001	0.00618695099453687
"ko00970"	"Aminoacyl-tRNA biosynthesis"	0.0103493947012983	0.0103658706283239	0.00993159867057327	0.00996437199992723
"ko00983"	"Drug metabolism - other enzymes"	0.00996267492282697	0.00995062252060049	0	0.00940049217831242
"ko01040"	"Biosynthesis of unsaturated fatty acids"	0.00521074081002867	0.00536846519184497	0.00564046726720754	0.00580823471706142
"ko01051"	"Biosynthesis of ansamycins"	0.072293586206842	0.0700878148063582	0.0729375311136242	0.0697807301066028
"ko01053"	"Biosynthesis of siderophore group nonribosomal peptides"	0.00339690864769212	0.0032818958240909	0.00372648169548619	0.00359689761003247
"ko01055"	"Biosynthesis of vancomycin group antibiotics"	0.0126540305817069	0.0133027920368371	0.0115401873655748	0.0106274083638423
"ko02010"	"ABC transporters"	0.0158544848932346	0.0159131092294738	0.0162505655921476	0.015081983651237
"ko02020"	"Two-component system"	0.00768099255888546	0.00785695060408711	0.00782628095873437	0.00748717261584774
"ko02030"	"Bacterial chemotaxis"	0.00888012104225251	0.00958340826913832	0.00691094963703395	0.00704723289356922
"ko02040"	"Flagellar assembly"	0.00304535233946476	0.00318101566287236	0.00143825193889413	0.00190309665656103
"ko02060"	"Phosphotransferase system (PTS)"	0.0156943791085258	0.0150968464361345	0.0162694661811955	0.0146555391119447
"ko03008"	"Ribosome biogenesis in eukaryotes"	0.00053076301582573	0.000530206637261772	0.000546544951831798	0.000545441162220598
"ko03010"	"Ribosome"	0.00866126801597362	0.00845474343266985	0.00833665321825196	0.00844221743649307
"ko03013"	"RNA transport"	0.00047756011050987	0.000474757730620754	0.000481847038586464	0.000470525558136705
"ko03018"	"RNA degradation"	0.00441907962409094	0.00436967868452879	0.00439815847675569	0.00432976118764996
"ko03020"	"RNA polymerase"	0.00443351419223408	0.0046374807704203	0.00403880978733643	0.00420282131080016
"ko03030"	"DNA replication"	0.00834100434624839	0.00811560319125132	0.0081776915411496	0.0080414319970816
"ko03050"	"Proteasome"	0	0	5.16748716682779e-08	0
"ko03060"	"Protein export"	0.0102928713460772	0.0102736117997411	0.00999604143412693	0.00999841697855704
"ko03070"	"Bacterial secretion system"	0.0118181996272312	0.0116731799303831	0.0123887376400033	0.0120844311176084
"ko03410"	"Base excision repair"	0.00736700048805083	0.0074116279341249	0.00728417111373022	0.00716883526958737
"ko03420"	"Nucleotide excision repair"	0.00398934414567605	0.00400671659389277	0.00375807442015239	0.00386469903718893
"ko03430"	"Mismatch repair"	0.0121290199548153	0.0118306749901105	0.0118805877191222	0.0116240402298966
"ko03440"	"Homologous recombination"	0.0107478081891435	0.0104697811467303	0.0106404813424456	0.0104047249358147
"ko03450"	"Non-homologous end-joining"	6.96411321249742e-06	5.72140176392548e-05	1.06346885893316e-05	3.64081116646487e-05
"ko04020"	"Calcium signaling pathway"	0	8.22854931051316e-08	0	0
"ko04112"	"Cell cycle - Caulobacter"	0.00832527798782228	0.00830428846692891	0.00794170755689044	0.00817402207467446
"ko04122"	"Sulfur relay system"	0.0118059985982601	0.0120110939816044	0.0120100528805077	0.0118800184058034
"ko04141"	"Protein processing in endoplasmic reticulum"	0.000314116610404961	0.000276337952368343	0.000286869679966119	0.00027711882682369
"ko04146"	"Peroxisome"	0.00211086651233792	0.0021973250872982	0.00223261135400304	0.00233232104943898
"ko04210"	"Apoptosis"	2.02598735421098e-06	3.8310706976051e-05	1.75627886418379e-05	1.9451212305012e-05
"ko04614"	"Renin-angiotensin system"	0	0	4.23733947679879e-05	0
"ko04621"	"NOD-like receptor signaling pathway"	0.000454819533740976	0	0	0
"ko04626"	"Plant-pathogen interaction"	0.00220730599298139	0.00212693504368789	0.00215640125326667	0.00213061896372855
"ko04910"	"Insulin signaling pathway"	0.000866698821939443	0.000870494801824817	0.000850353738192925	0.000834396358816707
"ko04974"	"Protein digestion and absorption"	0	5.48862524676363e-07	4.39029709693689e-06	2.20371218897585e-06
"ko05100"	"Bacterial invasion of epithelial cells"	3.61156856236062e-05	3.7162566774962e-05	3.93292750551657e-05	3.51837887363917e-05
"ko05110"	"Vibrio cholerae infection"	1.30845016626126e-06	2.33797466798525e-05	1.75694563672145e-06	9.3826634865878e-06
"ko05111"	"Vibrio cholerae pathogenic cycle"	0.00262412065703604	0.00263461070982142	0.00267489805703674	0.00255693758055349
"ko05120"	"Epithelial cell signaling in Helicobacter pylori infection"	0.00149953126545521	0.00143356074418892	0.00147551321242922	0.00140415976753794
"ko05142"	"Chagas disease (American trypanosomiasis)"	0	0	0.000264479555374588	0
"ko05143"	"African trypanosomiasis"	0.000568401279983849	0.000574187861047172	0	0.000610920452807418
"ko05146"	"Amoebiasis"	0	3.17279733243547e-07	0	0
"ko05150"	"Staphylococcus aureus infection"	2.06271631382797e-05	8.50172606540091e-06	2.51327784932079e-06	1.33970886862895e-05
"ko05322"	"Systemic lupus erythematosus"	6.82669651962395e-07	1.21981287025317e-05	2.12990340615337e-06	7.29064202449782e-06
"ko05410"	"Hypertrophic cardiomyopathy (HCM)"	0	0	0	3.42288629473412e-05
