"sample"	"description"	"taxon"	"taxon_rel_function_abun"
"102"	"HC-HX"	"Nitrotoluene degradation"	"Desulfitobacteriaceae"	0.077812119190419
"103"	"HC-HX"	"Nitrotoluene degradation"	"Enterobacteriaceae"	22.9060835506637
"104"	"HC-HX"	"Nitrotoluene degradation"	"Moraxellaceae"	0.805938084754873
"105"	"HC-HX"	"Nitrotoluene degradation"	"Ruminococcaceae"	0.000751807914883
"106"	"HC-HX"	"Nitrotoluene degradation"	"Veillonellaceae"	0.001002410553178
"107"	"HC-HX"	"Nitrotoluene degradation"	"Xanthomonadaceae"	0.079190433701039
"108"	"HC-XY"	"Aminobenzoate degradation"	"Alcaligenaceae"	0.050583455729157
"109"	"HC-XY"	"Aminobenzoate degradation"	"Clostridiaceae"	0.233728142374466
"110"	"HC-XY"	"Aminobenzoate degradation"	"Enterobacteriaceae"	37.4726457188981
"111"	"HC-XY"	"Aminobenzoate degradation"	"Lachnospiraceae"	0.091732252791582
"112"	"HC-XY"	"Aminobenzoate degradation"	"Moraxellaceae"	9.14366062153092
"113"	"HC-XY"	"Aminobenzoate degradation"	"Pseudomonadaceae"	0.595086353902339
"114"	"HC-XY"	"Aminobenzoate degradation"	"Xanthomonadaceae"	0.11323821694992
"115"	"HC-XY"	"Aminobenzoate degradation"	"Yersiniaceae"	0.036264120610415
"116"	"HC-XY"	"Benzoate degradation"	"Alcaligenaceae"	0.103163626816043
"117"	"HC-XY"	"Benzoate degradation"	"Clostridiaceae"	0.307537029440087
"118"	"HC-XY"	"Benzoate degradation"	"Enterobacteriaceae"	77.7705365081098
"119"	"HC-XY"	"Benzoate degradation"	"Lachnospiraceae"	0.289680798289208
"120"	"HC-XY"	"Benzoate degradation"	"Moraxellaceae"	12.1273814559252
"121"	"HC-XY"	"Benzoate degradation"	"Pseudomonadaceae"	0.861309196437597
"122"	"HC-XY"	"Benzoate degradation"	"Sporomusaceae"	0.022459744870804
"123"	"HC-XY"	"Benzoate degradation"	"Xanthomonadaceae"	0.063856137377775
"124"	"HC-XY"	"Benzoate degradation"	"Yersiniaceae"	0.0477159481716
"125"	"HC-XY"	"Caprolactam degradation"	"Alcaligenaceae"	0.108393119419621
"126"	"HC-XY"	"Caprolactam degradation"	"Enterobacteriaceae"	54.284217724339
"127"	"HC-XY"	"Caprolactam degradation"	"Moraxellaceae"	17.242331457744
"128"	"HC-XY"	"Caprolactam degradation"	"Pseudomonadaceae"	1.13349781695684
"129"	"HC-XY"	"Caprolactam degradation"	"Xanthomonadaceae"	0.138659041163168
"130"	"HC-XY"	"Caprolactam degradation"	"Yersiniaceae"	0.06907451544841
"131"	"HC-XY"	"Chloroalkane and chloroalkene degradation"	"Alcaligenaceae"	0.087548288762002
"132"	"HC-XY"	"Chloroalkane and chloroalkene degradation"	"Clostridiaceae"	0.719163514998357
"133"	"HC-XY"	"Chloroalkane and chloroalkene degradation"	"Enterobacteriaceae"	18.4478743547535
"134"	"HC-XY"	"Chloroalkane and chloroalkene degradation"	"Lachnospiraceae"	0.635069442403263
"135"	"HC-XY"	"Chloroalkane and chloroalkene degradation"	"Moraxellaceae"	8.44030211218239
"136"	"HC-XY"	"Chloroalkane and chloroalkene degradation"	"Pseudomonadaceae"	0.839224345246889
"137"	"HC-XY"	"Chloroalkane and chloroalkene degradation"	"Sporomusaceae"	0.065651561930041
"138"	"HC-XY"	"Chloroalkane and chloroalkene degradation"	"Xanthomonadaceae"	0.149325121252642
"139"	"HC-XY"	"Chloroalkane and chloroalkene degradation"	"Yersiniaceae"	0.027895477392627
"140"	"HC-XY"	"Chlorocyclohexane and chlorobenzene degradation"	"Alcaligenaceae"	0.075875183593735
"141"	"HC-XY"	"Chlorocyclohexane and chlorobenzene degradation"	"Enterobacteriaceae"	30.2136855357981
"142"	"HC-XY"	"Chlorocyclohexane and chlorobenzene degradation"	"Lachnospiraceae"	0.137598379187374
"143"	"HC-XY"	"Chlorocyclohexane and chlorobenzene degradation"	"Moraxellaceae"	3.29171782375113
"144"	"HC-XY"	"Chlorocyclohexane and chlorobenzene degradation"	"Pseudomonadaceae"	0.59508635390234
"145"	"HC-XY"	"Chlorocyclohexane and chlorobenzene degradation"	"Xanthomonadaceae"	0.097061328814217
"146"	"HC-XY"	"Chlorocyclohexane and chlorobenzene degradation"	"Yersiniaceae"	0.012088040203471
"147"	"HC-XY"	"Nitrotoluene degradation"	"Clostridiaceae"	0.849920517725331
"148"	"HC-XY"	"Nitrotoluene degradation"	"Enterobacteriaceae"	19.9424518614603
"149"	"HC-XY"	"Nitrotoluene degradation"	"Lachnospiraceae"	0.875626049374196
"150"	"HC-XY"	"Nitrotoluene degradation"	"Moraxellaceae"	0.997490249621555
"151"	"HC-XY"	"Nitrotoluene degradation"	"Pseudomonadaceae"	0.090164599076112
"152"	"HC-XY"	"Nitrotoluene degradation"	"Sporomusaceae"	0.05172547303579
"153"	"HC-XY"	"Nitrotoluene degradation"	"Xanthomonadaceae"	0.088237571649289
"154"	"HC-XY"	"Nitrotoluene degradation"	"Yersiniaceae"	0.010989127457702
"155"	"HC-XY"	"Polycyclic aromatic hydrocarbon degradation"	"Alcaligenaceae"	0.022316230468746
"156"	"HC-XY"	"Polycyclic aromatic hydrocarbon degradation"	"Enterobacteriaceae"	12.8724388056705
"157"	"HC-XY"	"Polycyclic aromatic hydrocarbon degradation"	"Moraxellaceae"	1.29086973480436
"158"	"HC-XY"	"Polycyclic aromatic hydrocarbon degradation"	"Pseudomonadaceae"	0.11668359880438
"159"	"HC-XY"	"Polycyclic aromatic hydrocarbon degradation"	"Yersiniaceae"	0.014221223768791
